
Buscando mesa en Conforama ... 
Número de intentos realizados: 0

Buscando mesa en IKEA ... 
         1214583 function calls (1189118 primitive calls) in 9.773 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1002(_gcd_import)
    82/19    0.000    0.000    0.189    0.010 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      378    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      347    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      347    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      347    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      378    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      345    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    394/4    0.000    0.000    0.247    0.062 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3461    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      291    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      588    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
      724    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      319    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      319    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      319    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    319/3    0.001    0.000    0.248    0.083 <frozen importlib._bootstrap>:650(_load_unlocked)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      378    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      974    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      974    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      338    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    346/3    0.001    0.000    0.248    0.083 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    347/3    0.001    0.000    0.248    0.083 <frozen importlib._bootstrap>:986(_find_and_load)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
      291    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
      291    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1045(get_resource_reader)
